iter	Passed	Remaining
0	140	140020
1	142	71201
2	154	51380
3	157	39200
4	161	32056
5	166	27585
6	168	23863
7	169	21070
8	172	18964
9	174	17312
10	179	16147
11	182	15013
12	183	13964
13	185	13070
14	187	12313
15	189	11639
16	191	11081
17	194	10603
18	196	10124
19	199	9765
20	201	9410
21	204	9102
22	207	8834
23	210	8580
24	212	8297
25	214	8035
26	216	7804
27	218	7581
28	223	7467
29	225	7284
30	228	7153
31	231	6996
32	233	6828
33	237	6745
34	239	6611
35	242	6483
36	244	6366
37	247	6267
38	251	6190
39	253	6087
40	257	6019
41	260	5934
42	263	5853
43	266	5798
44	269	5727
45	271	5635
46	273	5541
47	275	5462
48	277	5376
49	278	5298
50	282	5258
51	285	5213
52	288	5147
53	289	5080
54	292	5019
55	294	4956
56	297	4925
57	300	4877
58	304	4858
59	306	4807
60	309	4766
61	314	4757
62	317	4722
63	320	4688
64	322	4644
65	327	4639
66	333	4650
67	337	4625
68	343	4633
69	350	4650
70	359	4707
71	365	4711
72	368	4685
73	377	4719
74	380	4694
75	382	4654
76	385	4619
77	393	4649
78	397	4634
79	400	4601
80	405	4599
81	411	4603
82	412	4556
83	416	4542
84	426	4587
85	429	4568
86	432	4535
87	442	4589
88	446	4566
89	453	4589
90	457	4572
91	462	4565
92	469	4575
93	474	4568
94	476	4537
95	478	4507
96	486	4527
97	489	4507
98	492	4478
99	498	4484
100	505	4497
101	508	4474
102	511	4452
103	517	4455
104	519	4428
105	522	4407
106	530	4424
107	532	4400
108	535	4379
109	538	4354
110	542	4344
111	548	4350
112	551	4329
113	554	4308
114	564	4347
115	568	4329
116	570	4304
117	574	4292
118	578	4280
119	582	4273
120	589	4281
121	592	4266
122	595	4244
123	597	4221
124	607	4255
125	613	4252
126	615	4229
127	619	4221
128	624	4219
129	628	4206
130	631	4188
131	641	4215
132	644	4201
133	648	4187
134	652	4182
135	655	4161
136	658	4146
137	660	4128
138	670	4153
139	673	4137
140	675	4117
141	677	4092
142	683	4097
143	686	4081
144	693	4087
145	697	4081
146	700	4062
147	702	4042
148	704	4024
149	707	4010
150	713	4010
151	715	3990
152	718	3978
153	737	4052
154	742	4047
155	748	4049
156	751	4033
157	754	4021
158	759	4016
159	764	4015
160	766	3993
161	770	3985
162	780	4007
163	784	4000
164	787	3982
165	795	3997
166	798	3982
167	801	3969
168	807	3971
169	810	3956
170	813	3941
171	815	3924
172	817	3909
173	824	3911
174	827	3901
175	830	3888
176	832	3872
177	838	3873
178	843	3867
179	845	3853
180	848	3838
181	852	3831
182	855	3817
183	857	3804
184	859	3788
185	861	3771
186	863	3755
187	866	3743
188	868	3727
189	870	3711
190	872	3695
191	874	3678
192	875	3661
193	877	3645
194	880	3633
195	882	3621
196	884	3607
197	887	3592
198	889	3579
199	891	3564
200	892	3549
201	896	3540
202	898	3526
203	899	3511
204	901	3495
205	903	3480
206	904	3465
207	906	3451
208	911	3448
